id,brand
1001,ACURA
1002,ALFA ROMEO
2324,ARRA
1003,AUDI
1134,AUTOMÓVILES FRONTERIZOS
1147,BAIC
1005,BMW
1152,BUICK
1199,BYD
1153,CADILLAC
1057,CBO MOTORS
1206,CHANGAN
1215,CHANGHE
1006,CHEVROLET
2308,CHIREY
1007,CHRYSLER-DODGE
1216,CITROEN
1159,CUPRA
1217,DAEWOO
1142,FAW
1008,FIAT
1009,FORD
1060,FOTON
1154,GMC
1011,HONDA
1223,HUMMER
1012,HYUNDAI
1013,INFINITI
1143,JAC
1014,JAGUAR
2304,JEEP
2323,JETOUR
1015,KIA
1220,KIRI
1016,LAND ROVER
1212,LEXUS
1155,LINCOLN
1017,MAZDA
1018,MERCEDES BENZ
1150,MERCURY
1196,MG
2305,MINI COOPER
1020,MITSUBISHI
1021,NISSAN
1224,OLDSMOBILE
2321,OMODA
1022,PEUGEOT
1023,PIAGGIO
1156,PONTIAC
1024,PORSCHE
1025,RENAULT
1026,SAAB
1027,SEAT
2326,SEV
2325,SKYWELL
2306,SMART
1028,SUBARU
1029,SUZUKI
1140,TESLA
1030,TOYOTA
1157,UAZ
2307,VAM
1032,VOLKSWAGEN
1033,VOLVO
2303,ZACUA
