id,brand
3446,ACURA
3467,ALFA ROMEO
3464,ASTON MARTIN
3470,AUDI
25410,BAIC
3519,BENTLEY
3473,BMW
3518,BUICK
3521,CADILLAC
6931,CBO MOTORS
3578,CHEVROLET
3523,CHRYSLER
3585,DODGE
3474,FAW
7804,FERRARI
3444,FIAT
3496,FORD
3498,FOTON
3544,GMC
3551,HONDA
3553,HYUNDAI
3475,IMPORTADO
7291,INFINITI
3556,INFINITY
5699,JAC
3593,JAGUAR
3449,JEEP
24317,KIA
3502,LAND ROVER
3459,LINCOLN
3512,MASERATI
3514,MAZDA
3505,MERCEDES BENZ
25501,MINI
3507,MITSUBISHI
23357,NEGOCIOS ESPECIALES
3558,NISSAN
3479,PEUGEOT
3597,PLAN PISO
3562,PORSCHE
3486,REGULARIZADO
3529,RENAULT
3534,SEAT
3542,SUBARU
3539,SUZUKI
25499,TESLA MOTORS
3576,TOYOTA
32100,UAZ
3609,VOLKSWAGEN
3607,VOLVO
31655,ZACUA
