id,brand
1,ACURA
2,ALFA ROMEO
6,AUDI
323,BAIC
8,BENTLEY
10,BMW
12,BUICK
13,CADILLAC
16,CHEVROLET
100,CHIREY
17,CHRYSLER
326,CUPRA
23,DODGE
26,FERRARI
27,FIAT
28,FORD
693,GEO
166,GMC
35,HONDA
103,HUMMER
316,HYUNDAI
37,INFINITI
3,JAC
41,JAGUAR
42,JEEP
321,KIA
48,LAND ROVER
327,LEXUS
50,LINCOLN
313,MASTRETTA
56,MAZDA
57,MERCEDES BENZ
58,MERCURY
101,MG
104,MINI
59,MITSUBISHI
62,NISSAN
66,PEUGEOT
68,PONTIAC
69,PORSCHE
73,RENAULT
75,ROVER
76,SAAB
79,SEAT
312,SMART
84,SUBARU
85,SUZUKI
91,TOYOTA
98,VOLKSWAGEN
99,VOLVO
